1.000000, 0.001260
0.993046, 0.003384
0.980661, 0.007113
0.966053, 0.011423
0.949774, 0.016116
0.932497, 0.020971
0.914705, 0.025836
0.896663, 0.030632
0.878492, 0.035323
0.860248, 0.039894
0.841955, 0.044338
0.823625, 0.048652
0.805263, 0.052836
0.786873, 0.056886
0.768458, 0.060803
0.750020, 0.064585
0.731561, 0.068231
0.713085, 0.071740
0.694592, 0.075110
0.676086, 0.078339
0.657568, 0.081425
0.639042, 0.084367
0.620509, 0.087161
0.601972, 0.089806
0.583434, 0.092298
0.564898, 0.094635
0.546367, 0.096814
0.527844, 0.098830
0.509332, 0.100682
0.490838, 0.102363
0.472366, 0.103871
0.453927, 0.105200
0.435542, 0.106346
0.417252, 0.107301
0.399146, 0.108062
0.381348, 0.108562
0.363718, 0.108760
0.346191, 0.108657
0.328743, 0.108249
0.311371, 0.107533
0.294079, 0.106504
0.276873, 0.105157
0.259765, 0.103487
0.242768, 0.101489
0.225897, 0.099160
0.209170, 0.096494
0.192610, 0.093488
0.176244, 0.090138
0.160107, 0.086444
0.144247, 0.082408
0.128728, 0.078037
0.113641, 0.073351
0.099117, 0.068387
0.085331, 0.063210
0.072502, 0.057923
0.060860, 0.052659
0.050578, 0.047566
0.041719, 0.042762
0.034217, 0.038313
0.027921, 0.034232
0.022648, 0.030492
0.018223, 0.027053
0.014496, 0.023866
0.011348, 0.020889
0.008689, 0.018082
0.006451, 0.015411
0.004585, 0.012852
0.003059, 0.010381
0.001851, 0.007984
0.000950, 0.005655
0.000349, 0.003388
0.000045, 0.001207
0.000000, 0.000000
0.000026, -0.000893
0.000307, -0.003020
0.000943, -0.005164
0.001966, -0.007258
0.003382, -0.009259
0.005178, -0.011135
0.007342, -0.012879
0.009869, -0.014494
0.012776, -0.015992
0.016096, -0.017387
0.019888, -0.018688
0.024237, -0.019904
0.029262, -0.021036
0.035122, -0.022082
0.042021, -0.023027
0.050208, -0.023846
0.059950, -0.024498
0.071463, -0.024932
0.084815, -0.025095
0.099861, -0.024955
0.116286, -0.024515
0.133733, -0.023806
0.151904, -0.022878
0.170586, -0.021783
0.189635, -0.020566
0.208951, -0.019269
0.228442, -0.017929
0.247994, -0.016581
0.267500, -0.015256
0.286923, -0.013975
0.306260, -0.012754
0.325518, -0.011607
0.344712, -0.010545
0.363862, -0.009576
0.383011, -0.008708
0.402250, -0.007945
0.421719, -0.007217
0.441344, -0.006479
0.461014, -0.005744
0.480679, -0.005022
0.500319, -0.004318
0.519933, -0.003637
0.539517, -0.002985
0.559077, -0.002366
0.578612, -0.001783
0.598127, -0.001239
0.617623, -0.000738
0.637103, -0.000282
0.656568, 0.000127
0.676022, 0.000487
0.695466, 0.000796
0.714902, 0.001053
0.734333, 0.001258
0.753758, 0.001408
0.773181, 0.001504
0.792603, 0.001545
0.812024, 0.001532
0.831446, 0.001464
0.850864, 0.001343
0.870273, 0.001168
0.889650, 0.000942
0.908940, 0.000667
0.928010, 0.000347
0.946560, -0.000009
0.964024, -0.000382
0.979614, -0.000745
0.992708, -0.001071
1.000000, -0.001260
